Part,Amount,Price,Link
XIAO-ESP32C3,1,$11.21,temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601105343284324&sku_id=17619073443131&adg_ctx=a-fc6eca49~c-240aa62b&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&locale_override=60~en~EGP&_x_ns_sku_id=17619073443131&_x_ns_gid=601105343284324&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17619073443131&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zOx4OAd_Ase1WSMmj_4mPh00HFO49gojAe9HaXPnPsMqIL5qFuO3p-9f7vPoaAoWN&_x_ns_gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&_x_ns_targetid=pla-2199902624081&gad_source=1&gad_campaignid=23089249878&gbraid=0AAAAAo4mICFGfLEOFkjjSf5i8zib9xMke&gclid=CjwKCAjw857RBhAgEiwAI-1yKGajNhml3d4txTGZpIlv_ii1QbnmDoBWj4wsJQMfScUTHzDdXtHSahoCebQQAvD_BwE
TFT LCD Display Module,1,$7.34,https://www.amazon.eg/-/en/TFT-Display-Module-Interface-Inch/dp/B0CJ851LDT/ref=asc_df_B0CJ851LDT?mcid=cbe0223990d83c91a300f866bd4f167c&tag=egoshpadde-21&linkCode=df0&hvadid=725165253001&hvpos=&hvnetw=g&hvrand=7978173432568426989&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9112344&hvtargid=pla-2325088179277&psc=1&hvocijid=7978173432568426989-B0CJ851LDT-&hvexpln=0&language=en_AE
DFPlayer Mini MP3,1,$2.54,https://www.temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601101979115532&sku_id=17602399310447&adg_ctx=a-92f6667e~c-f1e29849~f-9125428d&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&_x_ns_sku_id=17602399310447&_x_ns_gid=601101979115532&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw9NjRBhATEiwA_p2J8bJVxBFe_cVqBG9kwSZkM3V6kRmhjwxGoMHkUlwlHnMi0LhS0t7texoCqJYQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17602399310447&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkEKCQjw0dPRBhC2ARIwAJZdEhf2JD46Vdb29HoVPKV9N81hRIX_Cqd4sLyw8zZDAfq3iGrIv5_HK7Gqc2f7GgLBpA&_x_ns_gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&_x_ns_targetid=pla-2199902624361&gad_source=1&gad_campaignid=23089249878&gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&gclid=CjwKCAjw9NjRBhATEiwA_p2J8bJVxBFe_cVqBG9kwSZkM3V6kRmhjwxGoMHkUlwlHnMi0LhS0t7texoCqJYQAvD_BwE
Speakers,1,$4.94,https://www.temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601104623986792&sku_id=17615647989196&adg_ctx=a-4ea06e28~c-e583ad08&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&locale_override=60~en~EGP&_x_ns_sku_id=17615647989196&_x_ns_gid=601104623986792&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjw9NjRBhATEiwA_p2J8SPhVxn1diFnrlGR3NJoYLGKqzQymo297z6bpPWUPUalF1nB2GExThoCZ8oQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17615647989196&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkEKCQjw0dPRBhC2ARIwAJZdEhf2JD46Vdb29HoVPKV9N81hRIX_Cqd4sLyw8zZDAfq3iGrIv5_HK7Gqc2f7GgLBpA&_x_ns_gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&_x_ns_targetid=pla-2199902624081&gad_source=1&gad_campaignid=23089249878&gbraid=0AAAAAo4mICGifa2IyOcSZdDH6ZW2dQtrb&gclid=CjwKCAjw9NjRBhATEiwA_p2J8SPhVxn1diFnrlGR3NJoYLGKqzQymo297z6bpPWUPUalF1nB2GExThoCZ8oQAvD_BwE
LIPO-Battery,1,$1.1,https://makerselectronics.com/product/rechargeable-400925-lipo-battery/
1000K Ohm resistor,1,$0.05,https://www.amazon.eg/-/en/Resistor-1K-ohm-4W-2pcs/dp/B0CJQ3M5J1/ref=asc_df_B0CJQ3M5J1?mcid=96af90971f193d6793490cd241167fc7&tag=egoshpadde-21&linkCode=df0&hvadid=725165783908&hvpos=&hvnetw=g&hvrand=1176527671135249144&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9112344&hvtargid=pla-2443142834634&psc=1&hvocijid=1176527671135249144-B0CJQ3M5J1-&hvexpln=0&language=en_AE
Screws,4,$1.5,https://https://www.temu.com/ul/kuiper/un9.html?subj=goods-un&_bg_fs=1&_p_jump_id=894&_x_vst_scene=adg&goods_id=601099965561316&sku_id=17594116431176&adg_ctx=a-65184245~c-546ad60d~f-9125428d&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=-1&_x_ns_sku_id=17594116431176&_x_ns_gid=601099965561316&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=5661265603&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=4251489964&_x_ads_set=23089249878&_x_ads_id=195105180948&_x_ads_creative_id=777910377294&_x_ns_source=g&_x_ns_gclid=CjwKCAjwgO7RBhBKEiwAZNP85sFMrz2UXN2GFKrrM2g6_YRZkI1Cy720zsZqF-PiQo-p0vz0ZP9bkxoCNpAQAvD_BwE&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17594116431176&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw3ejRBhAjEjAAZcWeAbPRAdks_qrmzDzasnPIedkiRlWVbEe0RPNTx4wzEHAmmcifDksvqM4HqosaAtYT&_x_ns_gbraid=0AAAAAo4mICHmsLtOvu4jN0yvEQ3yrM3fj&_x_ns_targetid=pla-2199902624321&gad_source=1&gad_campaignid=23089249878&gbraid=0AAAAAo4mICHmsLtOvu4jN0yvEQ3yrM3fj&gclid=CjwKCAjwgO7RBhBKEiwAZNP85sFMrz2UXN2GFKrrM2g6_YRZkI1Cy720zsZqF-PiQo-p0vz0ZP9bkxoCNpAQAvD_BwE
Push-buttons,1,$0.04,https://www.temu.com/eg-en/10pcs-6x6x5mm--tactile-tact-push-button-micro-switch-mini-micro-momentary-tactile-push-button-switch--x-5mm-g-605681855863393.html?_oak_mp_inf=EOG09t7U24kBGiBhODYzM2I4YWQxYjM0OTU3ODc5ZWNjZDFkNDU2YTQ1ZSCXoZju6jM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F32515510-ff63-414c-8cde-86786173efb5.jpg&spec_gallery_id=41314165265&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NTU5MA&_oak_gallery_order=898508561%2C548097648%2C1908010778%2C1655145408%2C1223098804&search_key=push%20button&refer_page_el_sn=200049&_x_vst_scene=adg&_x_ads_channel=google&_x_ads_sub_channel=search&_x_ads_account=4448219309&_x_ads_set=23072832667&_x_ads_id=186652370296&_x_ads_creative_id=776588224979&_x_ns_source=g&_x_ns_gclid=CjwKCAjw857RBhAgEiwAI-1yKI9HUsAyoEHwMRL6cBr8HyHkNjGgE5-fAYHWUYws_l3AswJ2IMZslhoCuCMQAvD_BwE&_x_ns_placement=&_x_ns_match_type=p&_x_ns_ad_position=&_x_ns_product_id=&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjw0JnRBhAXEjAAoR0zO9TqHcKmMz42k6FW3z0UHtDVtueaK9KlUAsFsHTF6aPbQyyL_4JndZacY80aAjHJ&_x_ns_gbraid=0AAAAAo4mICHhTGd1qpbDu7WQj-eEuQBK2&_x_ns_keyword=temu&_x_ns_targetid=kwd-368867843197&_x_ns_extensionid=&_x_sessn_id=rdwiz1tjc7&refer_page_name=search_result&refer_page_id=10009_1781031901203_rcl2gx49i9
Potentiometer,1,$0.34,https://www.amazon.eg/-/en/Generic-414999-483-Potentiometer-10K-Ohm/dp/B091DX3483/ref=asc_df_B091DX3483?mcid=050eb09066c436d48e046d3f1162e286&tag=egoshpadde-21&linkCode=df0&hvadid=725171905894&hvpos=&hvnetw=g&hvrand=11236387622005257172&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9112344&hvtargid=pla-2270527675134&psc=1&hvocijid=11236387622005257172-B091DX3483-&hvexpln=0&language=en_AE
PCB,1,$2,https://cart.jlcpcb.com
